"bout_id","video_name","animal_id","start_frame","end_frame","behavior","duration_frames","cluster_id","cluster_method"
177,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4",0,204,234,"turn_left",31,4,"kmeans"
178,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4",1,487,507,"turn_left",21,2,"kmeans"
179,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.00.08.mp4",2,871,921,"turn_left",51,4,"kmeans"
180,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.16.04.mp4",0,1112,1120,"turn_left",9,1,"kmeans"
181,"org-3-uploads-stage.study_426.cage_4476.2025-07-26.23.44.mp4",0,290,310,"turn_left",21,2,"kmeans"
182,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",0,1554,1568,"turn_left",15,1,"kmeans"
183,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",2,772,792,"turn_left",21,1,"kmeans"
184,"org-3-uploads-stage.study_410.cage_4482.2025-08-05.11.18.mp4",2,1517,1537,"turn_left",21,5,"kmeans"
185,"org-3-uploads-stage.study_426.cage_4471.2025-07-10.01.56.mp4",0,798,818,"turn_left",21,1,"kmeans"
186,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,921,931,"turn_left",11,2,"kmeans"
187,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,963,974,"turn_left",12,2,"kmeans"
188,"org-3-uploads-stage.study_410.cage_4487.2025-08-13.16.39.mp4",2,986,996,"turn_left",11,2,"kmeans"
189,"org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4",0,175,185,"turn_left",11,1,"kmeans"
190,"org-3-uploads-stage.study_410.cage_4482.2025-07-16.07.13.mp4",1,1549,1569,"turn_left",21,1,"kmeans"
191,"org-3-uploads-stage.study_470.cage_5032.2025-09-10.06.02.mp4",1,1571,1591,"turn_left",21,1,"kmeans"
192,"org-3-uploads-stage.study_460.cage_4986.2025-09-04.04.04.mp4",1,1284,1305,"turn_left",22,2,"kmeans"
193,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,298,311,"turn_left",14,5,"kmeans"
194,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,458,488,"turn_left",31,4,"kmeans"
195,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,570,600,"turn_left",31,4,"kmeans"
196,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",0,623,643,"turn_left",21,1,"kmeans"
197,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",1,331,341,"turn_left",11,1,"kmeans"
198,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",1,822,832,"turn_left",11,5,"kmeans"
199,"org-3-uploads-stage.study_447.cage_4840.2025-08-20.12.10.mp4",2,283,309,"turn_left",27,1,"kmeans"
200,"org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4",1,241,264,"turn_left",24,4,"kmeans"
201,"org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4",1,654,666,"turn_left",13,5,"kmeans"
202,"org-3-prod.study_443.cage_4823.2025-08-11.23.07.mp4",1,1328,1335,"turn_left",8,5,"kmeans"
203,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,400,410,"turn_left",11,1,"kmeans"
204,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,543,556,"turn_left",14,5,"kmeans"
205,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.59.mp4",1,864,872,"turn_left",9,5,"kmeans"
206,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",0,1770,1783,"turn_left",14,5,"kmeans"
207,"org-3-prod.study_443.cage_4823.2025-08-11.23.11.mp4",2,672,692,"turn_left",21,1,"kmeans"
208,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,181,201,"turn_left",21,1,"kmeans"
209,"org-3-uploads-stage.study_447.cage_4840.2025-08-27.04.25.mp4",0,538,550,"turn_left",13,2,"kmeans"
210,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1138,1178,"turn_left",41,4,"kmeans"
211,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1569,1583,"turn_left",15,2,"kmeans"
212,"org-9-uploads-stage.study_1174.cage_5991.2025-06-15.15.58.mp4",1,1645,1660,"turn_left",16,5,"kmeans"
213,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,697,717,"turn_left",21,5,"kmeans"
214,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,741,761,"turn_left",21,5,"kmeans"
215,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1083,1103,"turn_left",21,5,"kmeans"
216,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1227,1250,"turn_left",24,5,"kmeans"
217,"org-3-uploads-stage.study_476.cage_5057.2025-09-26.09.40.mp4",2,1677,1697,"turn_left",21,2,"kmeans"
218,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,109,139,"turn_left",31,4,"kmeans"
219,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,515,525,"turn_left",11,5,"kmeans"
220,"org-3-prod.study_443.cage_4823.2025-08-11.23.10.mp4",0,1685,1712,"turn_left",28,4,"kmeans"
221,"org-3-uploads-stage.study_410.cage_4486.2025-08-02.08.55.mp4",2,73,93,"turn_left",21,1,"kmeans"
222,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,945,995,"turn_left",51,4,"kmeans"
223,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",0,1003,1023,"turn_left",21,1,"kmeans"
224,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,922,962,"turn_left",41,4,"kmeans"
225,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.55.mp4",2,974,994,"turn_left",21,1,"kmeans"
226,"org-9-uploads-stage.study_1013.cage_4995.2025-03-17.02.02.mp4",2,1051,1070,"turn_left",20,1,"kmeans"
227,"org-3-uploads-stage.study_448.cage_4868.2025-10-10.03.46.mp4",1,776,806,"turn_left",31,4,"kmeans"
228,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",1,170,200,"turn_left",31,4,"kmeans"
229,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,740,785,"turn_left",46,4,"kmeans"
230,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1026,1045,"turn_left",20,1,"kmeans"
231,"org-3-uploads-stage.study_410.cage_4484.2025-07-14.16.12.mp4",2,1050,1071,"turn_left",22,1,"kmeans"
232,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,540,560,"turn_left",21,1,"kmeans"
233,"org-3-uploads-stage.study_450.cage_4907.2025-08-20.00.11.mp4",0,599,629,"turn_left",31,4,"kmeans"
234,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,12,32,"turn_left",21,1,"kmeans"
235,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,66,76,"turn_left",11,5,"kmeans"
236,"org-3-uploads-stage.study_428.cage_4507.2025-07-13.05.44.mp4",2,922,932,"turn_left",11,5,"kmeans"
237,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",0,1426,1451,"turn_left",26,2,"kmeans"
238,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,136,156,"turn_left",21,2,"kmeans"
239,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,185,199,"turn_left",15,2,"kmeans"
240,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,383,403,"turn_left",21,2,"kmeans"
241,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,406,426,"turn_left",21,2,"kmeans"
242,"org-3-uploads-stage.study_431.cage_4558.2025-08-04.08.38.mp4",2,449,469,"turn_left",21,2,"kmeans"
